,social_connection_frequency,gathering_size_preference,valued_friendship_traits,conflict_resolution_style,family_support_level,social_battery_recharge,social_orientation_type,social_anxiety_level,emotional_expression_method,primary_anger_sources,target
696,Monthly,Small gatherings,Honesty,Talk it out,No,Social media,Ambivert,Neutral,Express emotion strongly,Injustice,0.0
697,Never,Both,Loyalty,Apologize first,Sometimes,Alone time,Introvert,Avoid it,Other,Injustice,0.0
699,Monthly,Both,Loyalty,Let time fix it,Never,Talking to someone,Extrovert,Excited,Express emotion strongly,Being interrupted,1.0
700,Weekly,Small gatherings,Honesty,Talk it out,Yes,Alone time,Introvert,Nervous,Express emotion strongly,Unnecessary criticism,0.0
701,Weekly,Small gatherings,Honesty,Talk it out,Sometimes,None of the above,Not sure,Nervous,Talk openly,Unnecessary criticism,0.0
702,Daily,Large events,Honesty,Talk it out,Yes,Alone time,Introvert,Excited,Other,Being interrupted,0.0
703,Monthly,Both,Honesty,Apologize first,Yes,Alone time,Introvert,Neutral,Express emotion strongly,Injustice,1.0
704,Weekly,Small gatherings,Loyalty,Let time fix it,No,Alone time,Introvert,Nervous,Stay silent,Unnecessary criticism,1.0
705,Monthly,Never,Loyalty,Talk it out,Yes,Social media,Not sure,Excited,Stay silent,Selfishness,0.0
706,Weekly,Large events,Loyalty,Talk it out,Yes,Alone time,Introvert,Excited,Express emotion strongly,Selfishness,0.0
707,Monthly,Large events,Honesty,Talk it out,Sometimes,Social media,Not sure,Excited,Talk openly,Unnecessary criticism,0.0
708,Monthly,Large events,Honesty,Talk it out,No,Talking to someone,Ambivert,Nervous,Stay silent,Unnecessary criticism,1.0
709,Monthly,Small gatherings,Honesty,Avoid conflict,No,Talking to someone,Ambivert,Nervous,Talk openly,Unnecessary criticism,0.0
710,Weekly,Large events,Support,Avoid conflict,Yes,Social media,Ambivert,Nervous,Stay silent,Unnecessary criticism,1.0
711,Monthly,Large events,Honesty,Avoid conflict,Yes,Social media,Extrovert,Nervous,Stay silent,Selfishness,0.0
712,Monthly,Never,Loyalty,Avoid conflict,No,Alone time,Extrovert,Excited,Talk openly,Unnecessary criticism,0.0
713,Weekly,Small gatherings,Support,Talk it out,Yes,Alone time,Introvert,Nervous,Talk openly,Being interrupted,0.0
714,Never,Both,Honesty,Talk it out,Yes,Alone time,Extrovert,Excited,Stay silent,Being interrupted,0.0
715,Never,Both,Loyalty,Talk it out,Yes,Alone time,Extrovert,Excited,Stay silent,Selfishness,1.0
716,Daily,Large events,Loyalty,Avoid conflict,No,Alone time,Introvert,Excited,Talk openly,Unnecessary criticism,0.0
717,Monthly,Small gatherings,Honesty,Talk it out,Yes,Alone time,Introvert,Excited,Talk openly,Being interrupted,1.0
718,Daily,Never,Support,Apologize first,Sometimes,Talking to someone,Ambivert,Excited,Talk openly,Being interrupted,0.0
719,Monthly,Never,Support,Avoid conflict,Never,Social media,Extrovert,Nervous,Talk openly,Selfishness,0.0
720,Never,Large events,Honesty,Avoid conflict,Sometimes,Talking to someone,Extrovert,Excited,Talk openly,Being interrupted,0.0
721,Never,Large events,Loyalty,Avoid conflict,Yes,Alone time,Introvert,Avoid it,Stay silent,Injustice,1.0
722,Weekly,Small gatherings,Loyalty,Apologize first,Yes,Social media,Introvert,Excited,Stay silent,Unnecessary criticism,0.0
723,Weekly,Small gatherings,Honesty,Talk it out,Yes,Talking to someone,Ambivert,Nervous,Talk openly,Unnecessary criticism,0.0
724,Never,Large events,Honesty,Let time fix it,Yes,Alone time,Extrovert,Nervous,Talk openly,Selfishness,1.0
725,Weekly,Small gatherings,Honesty,Talk it out,No,Social media,Ambivert,Nervous,Talk openly,Selfishness,0.0
726,Never,Both,Loyalty,Apologize first,Yes,Social media,Introvert,Excited,Talk openly,Selfishness,1.0
727,Weekly,Small gatherings,Support,Talk it out,Yes,Talking to someone,Ambivert,Excited,Talk openly,Unnecessary criticism,1.0
728,Daily,Small gatherings,Honesty,Avoid conflict,No,Social media,Extrovert,Nervous,Talk openly,Selfishness,0.0
729,Daily,Both,Honesty,Talk it out,Yes,Talking to someone,Extrovert,Neutral,Stay silent,Selfishness,1.0
730,Weekly,Small gatherings,Loyalty,Avoid conflict,Yes,Social media,Extrovert,Nervous,Express emotion strongly,Unnecessary criticism,0.0
731,Weekly,Large events,Loyalty,Talk it out,Yes,Alone time,Ambivert,Nervous,Stay silent,Unnecessary criticism,1.0
732,Weekly,Small gatherings,Loyalty,Avoid conflict,Yes,Talking to someone,Introvert,Excited,Talk openly,Unnecessary criticism,1.0
733,Never,Small gatherings,Honesty,Avoid conflict,Sometimes,Alone time,Extrovert,Excited,Express emotion strongly,Unnecessary criticism,0.0
734,Never,Both,Loyalty,Let time fix it,Yes,Alone time,Extrovert,Excited,Stay silent,Injustice,1.0
735,Monthly,Both,Honesty,Avoid conflict,No,Social media,Not sure,Excited,Stay silent,Injustice,1.0
736,Weekly,Both,Loyalty,Talk it out,No,Social media,Extrovert,Excited,Express emotion strongly,Selfishness,0.0
737,Weekly,Never,Loyalty,Talk it out,Yes,Alone time,Introvert,Excited,Talk openly,Unnecessary criticism,1.0
738,Monthly,Both,Honesty,Talk it out,Yes,Social media,Ambivert,Nervous,Stay silent,Selfishness,0.0
739,Weekly,Small gatherings,Support,Talk it out,Yes,Alone time,Ambivert,Neutral,Talk openly,Selfishness,0.0
740,Weekly,Large events,Loyalty,Apologize first,No,Social media,Introvert,Excited,Talk openly,Selfishness,0.0
741,Weekly,Large events,Loyalty,Avoid conflict,Sometimes,Social media,Introvert,Neutral,Talk openly,Being interrupted,0.0
742,Weekly,Large events,Loyalty,Apologize first,No,Alone time,Extrovert,Nervous,Stay silent,Unnecessary criticism,1.0
743,Weekly,Small gatherings,Loyalty,Avoid conflict,Sometimes,Talking to someone,Ambivert,Excited,Stay silent,Being interrupted,1.0
744,Weekly,Small gatherings,Support,Talk it out,Yes,Social media,Ambivert,Nervous,Stay silent,Being interrupted,0.0
745,Monthly,Large events,Support,Apologize first,No,Social media,Introvert,Nervous,Talk openly,Being interrupted,0.0
746,Monthly,Small gatherings,Support,Talk it out,No,Talking to someone,Extrovert,Excited,Stay silent,Unnecessary criticism,0.0
747,Weekly,Small gatherings,Loyalty,Avoid conflict,Sometimes,Social media,Extrovert,Nervous,Stay silent,Unnecessary criticism,0.0
748,Daily,Small gatherings,Honesty,Apologize first,Sometimes,Alone time,Not sure,Nervous,Stay silent,Unnecessary criticism,1.0
749,Weekly,Large events,Honesty,Avoid conflict,No,Social media,Not sure,Nervous,Stay silent,Unnecessary criticism,1.0
750,Monthly,Small gatherings,Loyalty,Let time fix it,No,Alone time,Ambivert,Excited,Express emotion strongly,Being interrupted,0.0
751,Weekly,Never,Loyalty,Avoid conflict,Sometimes,None of the above,Extrovert,Nervous,Express emotion strongly,Being interrupted,1.0
752,Weekly,Small gatherings,Support,Avoid conflict,No,Alone time,Introvert,Nervous,Talk openly,Unnecessary criticism,1.0
753,Monthly,Never,Support,Apologize first,Sometimes,Social media,Introvert,Excited,Express emotion strongly,Unnecessary criticism,1.0
754,Daily,Small gatherings,Support,Talk it out,Sometimes,Alone time,Introvert,Excited,Other,Being interrupted,1.0
755,Weekly,Both,Honesty,Let time fix it,Sometimes,Talking to someone,Introvert,Excited,Other,Selfishness,1.0
756,Monthly,Large events,Loyalty,Talk it out,No,Alone time,Ambivert,Excited,Talk openly,Injustice,1.0
757,Never,Small gatherings,Loyalty,Avoid conflict,No,Alone time,Introvert,Excited,Express emotion strongly,Being interrupted,1.0
758,Daily,Large events,Support,Avoid conflict,Sometimes,Alone time,Extrovert,Neutral,Other,Injustice,0.0
759,Weekly,Small gatherings,Support,Avoid conflict,No,Alone time,Introvert,Nervous,Stay silent,Unnecessary criticism,1.0
760,Monthly,Large events,Loyalty,Talk it out,Yes,Alone time,Introvert,Neutral,Stay silent,Being interrupted,0.0
761,Monthly,Large events,Honesty,Talk it out,No,Social media,Extrovert,Nervous,Talk openly,Selfishness,1.0
762,Monthly,Large events,Loyalty,Talk it out,Yes,Social media,Extrovert,Avoid it,Stay silent,Injustice,1.0
763,Monthly,Both,Honesty,Avoid conflict,No,Social media,Extrovert,Nervous,Stay silent,Unnecessary criticism,0.0
764,Monthly,Both,Loyalty,Apologize first,Sometimes,None of the above,Not sure,Avoid it,Express emotion strongly,Being interrupted,0.0
765,Monthly,Small gatherings,Loyalty,Avoid conflict,No,Alone time,Extrovert,Neutral,Stay silent,Being interrupted,0.0
766,Daily,Never,Honesty,Talk it out,Yes,Alone time,Extrovert,Excited,Talk openly,Selfishness,0.0
767,Monthly,Both,Support,Talk it out,No,None of the above,Extrovert,Excited,Talk openly,Injustice,0.0
768,Monthly,Small gatherings,Honesty,Avoid conflict,No,Alone time,Not sure,Nervous,Express emotion strongly,Injustice,0.0
769,Never,Never,Honesty,Avoid conflict,Sometimes,Alone time,Extrovert,Nervous,Talk openly,Unnecessary criticism,0.0
770,Monthly,Large events,Support,Avoid conflict,Yes,Social media,Ambivert,Nervous,Stay silent,Injustice,0.0
771,Monthly,Both,Support,Avoid conflict,Sometimes,Social media,Ambivert,Neutral,Express emotion strongly,Being interrupted,0.0
772,Daily,Both,Support,Apologize first,Never,Talking to someone,Not sure,Avoid it,Talk openly,Being interrupted,0.0
773,Weekly,Small gatherings,Support,Apologize first,Never,Alone time,Not sure,Nervous,Talk openly,Selfishness,0.0
774,Never,Both,Loyalty,Talk it out,Yes,Alone time,Ambivert,Excited,Talk openly,Unnecessary criticism,0.0
775,Daily,Small gatherings,Honesty,Avoid conflict,Sometimes,Talking to someone,Not sure,Avoid it,Talk openly,Selfishness,0.0
776,Weekly,Large events,Support,Talk it out,No,Talking to someone,Not sure,Excited,Other,Being interrupted,1.0
777,Monthly,Both,Support,Let time fix it,Never,None of the above,Ambivert,Excited,Other,Unnecessary criticism,0.0
778,Monthly,Both,Support,Apologize first,Sometimes,Social media,Ambivert,Excited,Talk openly,Selfishness,0.0
779,Never,Both,Honesty,Let time fix it,Never,Alone time,Extrovert,Nervous,Talk openly,Selfishness,0.0
780,Weekly,Never,Support,Apologize first,Sometimes,None of the above,Extrovert,Neutral,Other,Injustice,0.0
781,Never,Small gatherings,Support,Talk it out,Yes,Alone time,Ambivert,Avoid it,Other,Injustice,0.0
782,Never,Small gatherings,Honesty,Let time fix it,Never,None of the above,Not sure,Nervous,Other,Being interrupted,0.0
783,Monthly,Small gatherings,Loyalty,Apologize first,Never,Talking to someone,Not sure,Neutral,Stay silent,Being interrupted,0.0
784,Monthly,Both,Support,Avoid conflict,Sometimes,Talking to someone,Not sure,Avoid it,Talk openly,Being interrupted,1.0
785,Weekly,Large events,Support,Apologize first,No,Alone time,Not sure,Avoid it,Talk openly,Unnecessary criticism,0.0
786,Weekly,Never,Support,Talk it out,Yes,Social media,Introvert,Excited,Express emotion strongly,Being interrupted,0.0
787,Weekly,Small gatherings,Support,Let time fix it,No,Alone time,Ambivert,Excited,Other,Injustice,0.0
788,Daily,Large events,Honesty,Avoid conflict,Sometimes,None of the above,Not sure,Neutral,Stay silent,Selfishness,0.0
789,Daily,Small gatherings,Honesty,Talk it out,Yes,Alone time,Introvert,Excited,Talk openly,Selfishness,1.0
790,Monthly,Large events,Support,Let time fix it,No,Talking to someone,Extrovert,Excited,Talk openly,Selfishness,1.0
791,Monthly,Both,Support,Avoid conflict,No,Talking to someone,Introvert,Nervous,Stay silent,Being interrupted,1.0
792,Daily,Never,Support,Talk it out,Yes,Alone time,Ambivert,Excited,Express emotion strongly,Injustice,1.0
793,Monthly,Both,Loyalty,Talk it out,Sometimes,Talking to someone,Ambivert,Nervous,Talk openly,Unnecessary criticism,0.0
794,Weekly,Small gatherings,Honesty,Apologize first,No,Alone time,Extrovert,Nervous,Talk openly,Being interrupted,1.0
795,Weekly,Both,Honesty,Avoid conflict,Yes,Social media,Extrovert,Excited,Talk openly,Selfishness,0.0
796,Never,Never,Honesty,Apologize first,Yes,Alone time,Introvert,Neutral,Other,Unnecessary criticism,1.0
797,Monthly,Never,Loyalty,Avoid conflict,No,Talking to someone,Ambivert,Neutral,Other,Injustice,1.0
798,Monthly,Large events,Support,Let time fix it,Never,Alone time,Not sure,Excited,Other,Selfishness,0.0
799,Never,Never,Support,Apologize first,Yes,Alone time,Not sure,Excited,Other,Selfishness,1.0
800,Monthly,Both,Support,Apologize first,No,Talking to someone,Not sure,Avoid it,Other,Injustice,0.0
801,Never,Both,Support,Avoid conflict,Never,None of the above,Extrovert,Avoid it,Other,Injustice,0.0
802,Monthly,Never,Loyalty,Avoid conflict,Sometimes,None of the above,Not sure,Neutral,Express emotion strongly,Injustice,0.0
803,Monthly,Small gatherings,Honesty,Talk it out,No,Talking to someone,Not sure,Nervous,Talk openly,Injustice,0.0
804,Monthly,Never,Loyalty,Avoid conflict,Sometimes,Alone time,Introvert,Excited,Stay silent,Injustice,1.0
805,Monthly,Both,Support,Avoid conflict,No,None of the above,Introvert,Neutral,Stay silent,Being interrupted,0.0
806,Monthly,Never,Loyalty,Talk it out,Never,Alone time,Not sure,Excited,Other,Selfishness,0.0
807,Weekly,Large events,Loyalty,Avoid conflict,No,Social media,Introvert,Excited,Express emotion strongly,Selfishness,1.0
808,Monthly,Both,Support,Apologize first,Yes,Alone time,Ambivert,Neutral,Talk openly,Being interrupted,1.0
809,Weekly,Both,Support,Talk it out,No,Alone time,Introvert,Nervous,Express emotion strongly,Unnecessary criticism,0.0
810,Weekly,Small gatherings,Honesty,Talk it out,Yes,Talking to someone,Ambivert,Neutral,Talk openly,Being interrupted,1.0
811,Weekly,Both,Support,Let time fix it,Yes,Alone time,Not sure,Neutral,Stay silent,Being interrupted,0.0
812,Never,Both,Honesty,Talk it out,Yes,Alone time,Not sure,Nervous,Express emotion strongly,Selfishness,0.0
813,Never,Small gatherings,Loyalty,Talk it out,Yes,Social media,Introvert,Nervous,Express emotion strongly,Being interrupted,0.0
814,Monthly,Large events,Honesty,Talk it out,Sometimes,Talking to someone,Introvert,Nervous,Express emotion strongly,Selfishness,1.0
815,Monthly,Never,Honesty,Talk it out,Sometimes,Talking to someone,Not sure,Nervous,Stay silent,Unnecessary criticism,0.0
816,Never,Never,Honesty,Avoid conflict,Yes,Alone time,Introvert,Nervous,Other,Unnecessary criticism,0.0
817,Never,Both,Loyalty,Avoid conflict,Sometimes,Alone time,Introvert,Nervous,Express emotion strongly,Unnecessary criticism,0.0
818,Never,Both,Loyalty,Avoid conflict,No,Social media,Ambivert,Avoid it,Talk openly,Unnecessary criticism,0.0
819,Never,Both,Honesty,Avoid conflict,No,Social media,Extrovert,Neutral,Other,Injustice,0.0
820,Never,Both,Loyalty,Avoid conflict,Yes,Social media,Introvert,Excited,Talk openly,Unnecessary criticism,1.0
821,Daily,Small gatherings,Honesty,Talk it out,No,Alone time,Ambivert,Nervous,Stay silent,Injustice,0.0
822,Never,Both,Honesty,Talk it out,Yes,Alone time,Introvert,Excited,Express emotion strongly,Unnecessary criticism,1.0
823,Monthly,Both,Support,Talk it out,No,None of the above,Extrovert,Nervous,Talk openly,Being interrupted,0.0
824,Monthly,Small gatherings,Honesty,Talk it out,Yes,Alone time,Extrovert,Nervous,Other,Unnecessary criticism,0.0
825,Monthly,Small gatherings,Honesty,Apologize first,Never,None of the above,Ambivert,Excited,Stay silent,Injustice,0.0
826,Never,Large events,Loyalty,Avoid conflict,No,Talking to someone,Not sure,Avoid it,Talk openly,Being interrupted,1.0
827,Never,Both,Loyalty,Talk it out,Yes,Alone time,Ambivert,Nervous,Talk openly,Selfishness,1.0
828,Daily,Large events,Loyalty,Apologize first,Sometimes,Talking to someone,Ambivert,Nervous,Other,Unnecessary criticism,0.0
829,Weekly,Small gatherings,Loyalty,Talk it out,Yes,Alone time,Extrovert,Nervous,Express emotion strongly,Unnecessary criticism,0.0
830,Never,Large events,Honesty,Apologize first,Never,Social media,Not sure,Nervous,Express emotion strongly,Being interrupted,0.0
831,Daily,Small gatherings,Support,Apologize first,Yes,Talking to someone,Not sure,Avoid it,Express emotion strongly,Unnecessary criticism,0.0
832,Monthly,Small gatherings,Support,Avoid conflict,Yes,Social media,Extrovert,Nervous,Stay silent,Being interrupted,0.0
833,Monthly,Both,Loyalty,Talk it out,Sometimes,Talking to someone,Ambivert,Excited,Talk openly,Unnecessary criticism,0.0
834,Weekly,Both,Loyalty,Talk it out,Yes,None of the above,Extrovert,Neutral,Stay silent,Being interrupted,0.0
835,Monthly,Both,Honesty,Talk it out,No,Talking to someone,Introvert,Avoid it,Express emotion strongly,Being interrupted,0.0
836,Weekly,Large events,Honesty,Avoid conflict,No,Social media,Extrovert,Nervous,Stay silent,Being interrupted,1.0
837,Monthly,Large events,Honesty,Avoid conflict,No,Alone time,Introvert,Excited,Talk openly,Selfishness,1.0
838,Never,Large events,Honesty,Apologize first,Yes,None of the above,Introvert,Excited,Talk openly,Being interrupted,0.0
839,Weekly,Large events,Honesty,Talk it out,No,Social media,Extrovert,Nervous,Stay silent,Selfishness,1.0
840,Never,Large events,Honesty,Avoid conflict,No,Social media,Extrovert,Nervous,Express emotion strongly,Injustice,1.0
841,Never,Both,Loyalty,Avoid conflict,Sometimes,Talking to someone,Ambivert,Excited,Other,Injustice,1.0
842,Never,Large events,Loyalty,Talk it out,No,Social media,Extrovert,Avoid it,Talk openly,Being interrupted,0.0
843,Never,Both,Honesty,Avoid conflict,No,Talking to someone,Not sure,Excited,Stay silent,Unnecessary criticism,1.0
844,Monthly,Both,Honesty,Avoid conflict,No,Talking to someone,Introvert,Excited,Stay silent,Being interrupted,1.0
845,Weekly,Large events,Loyalty,Talk it out,No,Talking to someone,Extrovert,Neutral,Express emotion strongly,Injustice,0.0
846,Weekly,Both,Honesty,Avoid conflict,No,Alone time,Ambivert,Nervous,Express emotion strongly,Being interrupted,0.0
847,Never,Large events,Support,Avoid conflict,No,Social media,Ambivert,Neutral,Stay silent,Unnecessary criticism,0.0
849,Weekly,Large events,Loyalty,Avoid conflict,Yes,Social media,Extrovert,Excited,Stay silent,Being interrupted,0.0
850,Monthly,Large events,Honesty,Avoid conflict,Yes,Alone time,Ambivert,Nervous,Express emotion strongly,Injustice,0.0
851,Daily,Large events,Honesty,Avoid conflict,No,Alone time,Extrovert,Excited,Talk openly,Unnecessary criticism,0.0
852,Weekly,Large events,Support,Avoid conflict,No,Social media,Ambivert,Avoid it,Talk openly,Being interrupted,0.0
853,Weekly,Large events,Loyalty,Talk it out,No,Talking to someone,Extrovert,Excited,Express emotion strongly,Injustice,0.0
854,Weekly,Large events,Honesty,Avoid conflict,No,Alone time,Extrovert,Nervous,Express emotion strongly,Selfishness,0.0
855,Daily,Both,Honesty,Avoid conflict,No,Social media,Extrovert,Nervous,Talk openly,Selfishness,0.0
856,Monthly,Both,Honesty,Let time fix it,No,Alone time,Introvert,Neutral,Talk openly,Being interrupted,0.0
857,Daily,Small gatherings,Honesty,Avoid conflict,No,Alone time,Extrovert,Nervous,Talk openly,Unnecessary criticism,0.0
858,Monthly,Both,Loyalty,Apologize first,Sometimes,None of the above,Ambivert,Excited,Talk openly,Being interrupted,1.0
859,Daily,Both,Honesty,Talk it out,Yes,Talking to someone,Introvert,Excited,Stay silent,Unnecessary criticism,0.0
860,Monthly,Both,Support,Apologize first,Sometimes,Talking to someone,Ambivert,Nervous,Express emotion strongly,Being interrupted,0.0
861,Monthly,Both,Honesty,Talk it out,Yes,Alone time,Ambivert,Nervous,Talk openly,Unnecessary criticism,0.0
862,Weekly,Large events,Honesty,Apologize first,Yes,Social media,Extrovert,Excited,Talk openly,Selfishness,0.0
863,Monthly,Large events,Honesty,Avoid conflict,No,Social media,Extrovert,Nervous,Stay silent,Selfishness,0.0
864,Daily,Small gatherings,Honesty,Talk it out,Yes,Alone time,Introvert,Excited,Stay silent,Unnecessary criticism,1.0
865,Daily,Both,Honesty,Apologize first,No,Alone time,Extrovert,Excited,Stay silent,Being interrupted,0.0
866,Daily,Small gatherings,Honesty,Avoid conflict,Yes,Social media,Extrovert,Excited,Express emotion strongly,Selfishness,1.0
867,Weekly,Never,Support,Talk it out,No,Talking to someone,Ambivert,Nervous,Talk openly,Being interrupted,0.0
868,Daily,Large events,Loyalty,Talk it out,Yes,None of the above,Extrovert,Nervous,Talk openly,Selfishness,1.0
869,Weekly,Small gatherings,Honesty,Talk it out,No,Alone time,Introvert,Neutral,Express emotion strongly,Unnecessary criticism,1.0
870,Daily,Small gatherings,Loyalty,Avoid conflict,No,Alone time,Extrovert,Neutral,Talk openly,Selfishness,1.0
871,Weekly,Small gatherings,Honesty,Avoid conflict,No,Alone time,Introvert,Nervous,Talk openly,Selfishness,0.0
872,Daily,Both,Honesty,Let time fix it,Sometimes,Alone time,Extrovert,Nervous,Stay silent,Selfishness,0.0
873,Daily,Small gatherings,Loyalty,Apologize first,Sometimes,Social media,Introvert,Nervous,Stay silent,Being interrupted,1.0
874,Weekly,Small gatherings,Honesty,Avoid conflict,Yes,Talking to someone,Introvert,Nervous,Stay silent,Selfishness,1.0
875,Daily,Small gatherings,Loyalty,Avoid conflict,Sometimes,Talking to someone,Introvert,Neutral,Stay silent,Selfishness,0.0
876,Daily,Small gatherings,Honesty,Avoid conflict,Never,Social media,Introvert,Excited,Express emotion strongly,Selfishness,1.0
877,Daily,Large events,Loyalty,Apologize first,Never,Alone time,Introvert,Nervous,Talk openly,Unnecessary criticism,0.0
878,Daily,Small gatherings,Loyalty,Avoid conflict,No,Alone time,Introvert,Nervous,Talk openly,Selfishness,1.0
879,Daily,Small gatherings,Honesty,Talk it out,Sometimes,Social media,Not sure,Nervous,Talk openly,Unnecessary criticism,0.0
880,Monthly,Both,Honesty,Talk it out,Yes,Social media,Extrovert,Nervous,Express emotion strongly,Unnecessary criticism,0.0
881,Weekly,Small gatherings,Support,Talk it out,Yes,Talking to someone,Introvert,Excited,Talk openly,Injustice,0.0
882,Daily,Small gatherings,Loyalty,Apologize first,No,Social media,Extrovert,Excited,Talk openly,Selfishness,0.0
883,Monthly,Both,Loyalty,Avoid conflict,No,Talking to someone,Not sure,Nervous,Express emotion strongly,Being interrupted,1.0
884,Monthly,Small gatherings,Support,Apologize first,Sometimes,Alone time,Extrovert,Nervous,Talk openly,Selfishness,1.0
885,Weekly,Small gatherings,Honesty,Avoid conflict,No,Social media,Introvert,Excited,Talk openly,Injustice,1.0
886,Weekly,Never,Loyalty,Avoid conflict,No,Social media,Not sure,Neutral,Express emotion strongly,Unnecessary criticism,0.0
887,Daily,Large events,Loyalty,Avoid conflict,Yes,Social media,Introvert,Neutral,Express emotion strongly,Being interrupted,1.0
888,Daily,Large events,Honesty,Avoid conflict,Yes,Talking to someone,Extrovert,Neutral,Talk openly,Selfishness,1.0
889,Weekly,Small gatherings,Honesty,Apologize first,Yes,Social media,Ambivert,Nervous,Talk openly,Unnecessary criticism,1.0
890,Daily,Never,Loyalty,Apologize first,Yes,Social media,Ambivert,Neutral,Express emotion strongly,Being interrupted,0.0
891,Monthly,Small gatherings,Honesty,Avoid conflict,No,Talking to someone,Introvert,Avoid it,Talk openly,Being interrupted,1.0
892,Daily,Large events,Loyalty,Avoid conflict,Yes,Social media,Extrovert,Neutral,Talk openly,Being interrupted,1.0
893,Monthly,Both,Honesty,Apologize first,Yes,Alone time,Ambivert,Neutral,Stay silent,Unnecessary criticism,0.0
894,Weekly,Both,Support,Apologize first,No,Social media,Extrovert,Excited,Express emotion strongly,Selfishness,0.0
895,Daily,Both,Support,Let time fix it,Yes,Social media,Ambivert,Neutral,Talk openly,Being interrupted,1.0
896,Daily,Small gatherings,Honesty,Apologize first,No,Social media,Ambivert,Neutral,Stay silent,Unnecessary criticism,0.0
897,Weekly,Small gatherings,Honesty,Avoid conflict,Yes,Social media,Not sure,Neutral,Express emotion strongly,Unnecessary criticism,0.0
898,Weekly,Large events,Support,Talk it out,Yes,Social media,Ambivert,Nervous,Talk openly,Being interrupted,1.0
899,Never,Both,Loyalty,Talk it out,Yes,Social media,Extrovert,Nervous,Stay silent,Being interrupted,0.0
900,Monthly,Large events,Support,Avoid conflict,No,Social media,Extrovert,Nervous,Stay silent,Unnecessary criticism,0.0
901,Monthly,Large events,Loyalty,Talk it out,Sometimes,Social media,Extrovert,Nervous,Stay silent,Unnecessary criticism,0.0
902,Monthly,Small gatherings,Honesty,Apologize first,Yes,Alone time,Introvert,Nervous,Talk openly,Selfishness,0.0
903,Monthly,Both,Loyalty,Avoid conflict,No,Alone time,Ambivert,Nervous,Stay silent,Unnecessary criticism,0.0
904,Monthly,Both,Loyalty,Avoid conflict,No,Talking to someone,Ambivert,Neutral,Express emotion strongly,Being interrupted,0.0
905,Monthly,Both,Honesty,Talk it out,Yes,Social media,Extrovert,Nervous,Stay silent,Unnecessary criticism,0.0
906,Monthly,Large events,Honesty,Talk it out,Yes,Social media,Extrovert,Nervous,Stay silent,Unnecessary criticism,0.0
907,Weekly,Large events,Honesty,Avoid conflict,No,Social media,Extrovert,Nervous,Talk openly,Being interrupted,0.0
908,Monthly,Never,Support,Talk it out,No,Social media,Extrovert,Nervous,Express emotion strongly,Being interrupted,0.0
909,Weekly,Large events,Honesty,Avoid conflict,No,Talking to someone,Ambivert,Nervous,Stay silent,Unnecessary criticism,0.0
910,Weekly,Small gatherings,Honesty,Talk it out,Yes,Social media,Extrovert,Nervous,Stay silent,Unnecessary criticism,0.0
911,Weekly,Large events,Honesty,Avoid conflict,Yes,Talking to someone,Ambivert,Nervous,Talk openly,Selfishness,0.0
912,Weekly,Large events,Loyalty,Avoid conflict,No,Social media,Extrovert,Excited,Talk openly,Unnecessary criticism,1.0
913,Weekly,Both,Loyalty,Apologize first,No,Social media,Extrovert,Neutral,Stay silent,Unnecessary criticism,0.0
914,Daily,Both,Loyalty,Avoid conflict,Sometimes,Social media,Extrovert,Nervous,Express emotion strongly,Unnecessary criticism,0.0
915,Weekly,Large events,Loyalty,Apologize first,Yes,Alone time,Extrovert,Nervous,Stay silent,Unnecessary criticism,1.0
916,Monthly,Both,Loyalty,Talk it out,Sometimes,Social media,Extrovert,Nervous,Express emotion strongly,Unnecessary criticism,1.0
917,Weekly,Large events,Honesty,Talk it out,Yes,Alone time,Introvert,Excited,Stay silent,Being interrupted,1.0
918,Weekly,Both,Loyalty,Apologize first,Sometimes,Social media,Ambivert,Neutral,Express emotion strongly,Being interrupted,0.0
919,Weekly,Large events,Loyalty,Talk it out,No,Social media,Ambivert,Nervous,Stay silent,Unnecessary criticism,0.0
920,Daily,Large events,Honesty,Talk it out,Yes,Social media,Extrovert,Nervous,Stay silent,Being interrupted,0.0
921,Monthly,Both,Loyalty,Avoid conflict,Sometimes,Talking to someone,Ambivert,Neutral,Express emotion strongly,Being interrupted,0.0
922,Monthly,Large events,Loyalty,Avoid conflict,Yes,Alone time,Introvert,Excited,Stay silent,Being interrupted,1.0
923,Weekly,Both,Loyalty,Talk it out,No,Social media,Ambivert,Neutral,Express emotion strongly,Being interrupted,0.0
924,Weekly,Both,Honesty,Avoid conflict,No,Social media,Extrovert,Neutral,Stay silent,Unnecessary criticism,0.0
925,Weekly,Large events,Loyalty,Avoid conflict,No,Social media,Ambivert,Nervous,Stay silent,Unnecessary criticism,0.0
926,Weekly,Large events,Honesty,Avoid conflict,No,Social media,Extrovert,Excited,Stay silent,Unnecessary criticism,0.0
927,Monthly,Small gatherings,Loyalty,Talk it out,Sometimes,Alone time,Extrovert,Excited,Stay silent,Selfishness,0.0
928,Weekly,Large events,Support,Apologize first,Sometimes,Talking to someone,Ambivert,Nervous,Express emotion strongly,Being interrupted,0.0
929,Weekly,Large events,Loyalty,Talk it out,Never,Social media,Extrovert,Nervous,Stay silent,Unnecessary criticism,0.0
930,Monthly,Both,Loyalty,Apologize first,Sometimes,Social media,Ambivert,Nervous,Express emotion strongly,Being interrupted,0.0
